BAY_SEG,Year,source,tnload,TN,TN%,,tpload,TP,TP%,,tssload,TSS,TSS%,,bodload,BOD,BOD%,,h2oload10e6m3
3,2018,IPS,43.52322158,,8.13%,,58.16607741,,47.72%,,658.3274355,,10.03%,,497.7066682,,30.23%,,47.03248946
3,2018,NPS,297.2390993,535.3233571,55.53%,,57.75023611,121.8796054,47.38%,,5906.251971,6565.713127,89.96%,,1145.674767,1646.439242,69.59%,,259.0796337
3,2019,AD,161.3598595,,26.49%,,2.943859976,,2.57%,,,,0.00%,,,,0.00%,,411.4277796
3,2019,DPS,22.44304676,,3.68%,,2.177749081,,1.90%,,1.210161796,,0.02%,,3.255074147,,0.17%,,17.76781288
3,2019,GW,0.274404621,,0.05%,,1.557172081,,1.36%,,,,0.00%,,,,0.00%,,9.56339344
3,2019,IPS,77.3563383,,12.70%,,88.69168556,,77.38%,,1003.557309,,12.61%,,758.721819,,39.78%,,71.69800655
3,2019,NPS,347.6785367,609.1121859,57.08%,,19.24377386,114.6142406,16.79%,,6955.692124,7960.459595,87.38%,,1145.501233,1907.478126,60.05%,,258.5013751
3,2020,AD,153.7756348,,34.10%,,2.719308922,,3.75%,,,,0.00%,,,,0.00%,,345.6219161
3,2020,DPS,24.77752795,,5.49%,,2.0971528,,2.90%,,1.173863102,,0.03%,,3.470991492,,0.33%,,19.35594961
3,2020,GW,0.274404621,,0.06%,,1.557172081,,2.15%,,,,0.00%,,,,0.00%,,9.56339344
3,2020,IPS,39.60480058,,8.78%,,24.44351416,,33.75%,,275.6539826,,6.32%,,208.4585488,,19.89%,,19.69900169
3,2020,NPS,232.5676196,450.9999876,51.57%,,41.61384685,72.43099481,57.45%,,4084.808852,4361.636698,93.65%,,836.3536626,1048.283203,79.78%,,159.4314768
3,2021,AD,119.9572632,,27.86%,,2.189894704,,2.43%,,,,0.00%,,,,0.00%,,303.8561739
3,2021,DPS,25.93501365,,6.02%,,1.663819569,,1.84%,,3.122594108,,0.07%,,3.635441615,,0.31%,,19.87446742
3,2021,GW,0.274404621,,0.06%,,1.557172081,,1.73%,,,,0.00%,,,,0.00%,,9.56339344
3,2021,IPS,76.64617291,,17.80%,,20.73872264,,22.98%,,229.676879,,4.85%,,173.9399045,,14.80%,,16.43704464
3,2021,NPS,207.8210755,430.6339299,48.26%,,64.1022483,90.25185729,71.03%,,4497.933328,4730.732801,95.08%,,997.9478282,1175.523174,84.89%,,191.363155
4,2017,AD,91.42724876,,79.96%,,1.674945286,,17.20%,,,,0.00%,,,,0.00%,,238.1019203
4,2017,DPS,4.012395211,,3.51%,,0.809363264,,8.31%,,0.125436213,,0.03%,,0.050771795,,0.05%,,2.677684615
4,2017,GW,0.120818679,,0.11%,,0.684875105,,7.03%,,,,0.00%,,,,0.00%,,4.230722314
4,2017,IPS,1.843588185,,1.61%,,0.817133865,,8.39%,,1.492386748,,0.38%,,2.74163734,,2.77%,,0.259080373
4,2017,NPS,16.7250345,,14.63%,,5.754097504,,59.07%,,387.67339,,99.58%,,96.05694498,,97.18%,,20.50323162
4,2017,POR,0.214,114.3430853,0.19%,,,9.740415024,0.00%,,,389.291213,0.00%,,,98.84935412,0.00%,,
4,2018,AD,144.5865682,,83.44%,,2.558006009,,22.10%,,,,0.00%,,,,0.00%,,320.313525
4,2018,DPS,3.184657454,,1.84%,,0.713661727,,6.17%,,0.137211516,,0.03%,,0.035296867,,0.03%,,2.971876994
4,2018,GW,0.120818679,,0.07%,,0.684875105,,5.92%,,,,0.00%,,,,0.00%,,4.230722314
4,2018,IPS,4.066812502,,2.35%,,0.943001553,,8.15%,,3.55861541,,0.78%,,4.502092214,,3.88%,,0.425440562
4,2018,NPS,21.05790789,,12.15%,,6.673155106,,57.66%,,450.0572671,,99.19%,,111.6230544,,96.09%,,24.07421586
4,2018,POR,0.255,173.2717647,0.15%,,,11.5726995,0.00%,,,453.753094,0.00%,,,116.1604435,0.00%,,
4,2019,AD,133.5872394,,78.12%,,2.435570122,,14.90%,,,,0.00%,,,,0.00%,,341.0949937
4,2019,DPS,3.169352537,,1.85%,,0.723377105,,4.43%,,0.133761818,,0.02%,,0.051949185,,0.03%,,2.91232035
4,2019,GW,0.120818679,,0.07%,,0.684875105,,4.19%,,,,0.00%,,,,0.00%,,4.230722314
4,2019,IPS,1.985846395,,1.16%,,2.763574729,,16.91%,,4.476003922,,0.68%,,13.25699566,,7.54%,,1.252765029
4,2019,NPS,31.92958513,,18.67%,,9.736702132,,59.57%,,656.0244178,,99.30%,,162.5552835,,92.43%,,34.71286814
4,2019,POR,0.214,171.0068421,0.13%,,,16.34409919,0.00%,,,660.6341835,0.00%,,,175.8642283,0.00%,,
4,2020,AD,145.1889919,,82.67%,,2.556917981,,19.74%,,,,0.00%,,,,0.00%,,320.9205634
4,2020,DPS,6.652795743,,3.79%,,1.14023947,,8.80%,,0.160099016,,0.03%,,0.041961551,,0.04%,,3.388539564
4,2020,GW,0.120818679,,0.07%,,0.684875105,,5.29%,,,,0.00%,,,,0.00%,,4.230722314
4,2020,IPS,2.781557857,,1.58%,,1.823063349,,14.07%,,3.624021657,,0.79%,,4.499072125,,3.83%,,0.425155168
4,2020,NPS,20.78476464,,11.83%,,6.749609309,,52.10%,,455.2080283,,99.18%,,112.8992478,,96.13%,,24.34649877
4,2020,POR,0.0993,175.6282288,0.06%,,,12.95470521,0.00%,,,458.992149,0.00%,,,117.4402815,0.00%,,
4,2021,AD,110.4295363,,33.06%,,2.00837451,,1.36%,,,,0.00%,,,,0.00%,,276.2976299
4,2021,DPS,6.863681512,,2.06%,,1.216553227,,0.82%,,0.104979153,,0.03%,,0.035442309,,0.03%,,3.0218944
