bayseg,YEAR,MONTH,entity,facname,source,tnloadtons,tploadtons,tssloadtons,bodloadtons
1,2022,3,SAFETY HARBOR,,Non-Point Source,0.1248224055,0.0292538428,4.0096843339,0.7651794001
1,2022,3,ST PETERSBURG,,Non-Point Source,0.0872003292,0.0187758603,3.5728968956,0.6599615126
1,2022,3,STONEBRIAR,,Non-Point Source,0.0064286185,0.0020237566,0.4930465331,0.1041220854
1,2022,3,TARPON SPRINGS,,Non-Point Source,0.0023685563,0.0007127577,0.1044581185,0.021951102
1,2022,3,Tampa,,Non-Point Source,0.507022965,0.1116513909,20.814779813,3.9107739496
1,2022,3,WESTCHASE,,Non-Point Source,0.033738268,0.0067477399,0.8795820261,0.1844663425
1,2022,3,WESTCHASE EAST,,Non-Point Source,0.0414313076,0.0084720671,1.1655266361,0.2359732792
1,2022,3,Clearwater,City of Clearwater East AWWTF,PS - Domestic - REUSE,0,0,0,0
1,2022,3,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - REUSE,0.2259409454,0.0853236904,0.0238334331,0.0476668661
1,2022,3,Largo,City of Largo,PS - Domestic - REUSE,0.1659660676,0.0072994335,0.0461016854,0.0422598783
1,2022,3,Oldsmar,City of Oldsmar WRF,PS - Domestic - REUSE,0.0333247663,0.0004887632,0.0051097975,0.0088866043
1,2022,3,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - REUSE,0.479466066,0.0198009585,0.0176794272,0.0579885213
1,2022,3,Pinellas Co.,On Top Of The World WWTP,PS - Domestic - REUSE,0.0834487074,0.0034770295,0.0016226138,0.0037667819
1,2022,3,St. Petersburg,St Pete Facilities,PS - Domestic - REUSE,0.468077294,0.02933636,0.0165844992,0.040451616
1,2022,3,Hillsborough Co.,Van Dyke WWTP,PS - Domestic - REUSE,0.2598199927,0.0150826502,0.0086796383,0.0160786742
1,2022,3,Pinellas Co.,William E. Dunn WRF (Pinellas NW),PS - Domestic - REUSE,0.036834781,0.0105242231,0.0146169766,0.0292339532
1,2022,3,Clearwater,City of Clearwater East AWWTF,PS - Domestic - SW,0.2685384371,0.1633608826,0.1633608826,0.2237820309
1,2022,3,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - SW,0.1829191734,0.4144624308,0.1157716287,0.2315432574
1,2022,3,Largo,City of Largo,PS - Domestic - SW,1.4137850204,0.1243607194,0.7854361224,0.7199831122
1,2022,3,Oldsmar,City of Oldsmar WRF,PS - Domestic - SW,0.0138020478,0.0021330438,0.0250946324,0.0250946324
1,2022,3,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - SW,0.5050165411,0.125136842,0.1117293232,0.3664721803
1,2022,3,Duke Energy,Duke Energy-Bartow Plant,PS - Industrial,0.0065194303,0,0.0116418398,0.1117616617
1,2022,4,Atmospheric Deposition,,Atmospheric Deposition,36.135785528,0.5418649797,0,0
1,2022,4,Ground Water,,Ground Water,0.5487808818,0.1630811084,0,0
1,2022,4,CHEVAL WEST,,Non-Point Source,0.0470790802,0.00267022,1.3564519604,0.3330051249
1,2022,4,CLEARWATER,,Non-Point Source,0.641686727,0.1722269877,29.387909074,5.5885411386
1,2022,4,Conservation,,Non-Point Source,0.4827048068,0.0530405049,5.1911190445,1.5579765126
1,2022,4,FDACS (Agriculture),,Non-Point Source,0.7948838495,0.0383870975,8.091326365,1.3885981311
1,2022,4,HERITAGE HARBOR,,Non-Point Source,0.0442848198,0.0027272593,1.7673026238,0.3627585274
1,2022,4,HILLSBOROUGH,,Non-Point Source,6.6996250258,1.0153841905,224.76743422,45.324935873
1,2022,4,LARGO,,Non-Point Source,0.3126001393,0.0638946435,11.05966005,2.0509140499
1,2022,4,MSGP COT,,Non-Point Source,0.1932209111,0.030442539,4.5444500396,1.4631318309
1,2022,4,MSGP PINELLAS,,Non-Point Source,0.2623259238,0.0441995597,8.4911770188,2.0299246572
1,2022,4,MacDill AFB,,Non-Point Source,0.020123942,0.003265,0.3138982671,0.1203779649
1,2022,4,None,,Non-Point Source,0.0011161707,0.0000500938,0.0136556199,0.0031152746
1,2022,4,OLDSMAR,,Non-Point Source,0.2938740502,0.0574435773,8.7349813402,1.655507386
1,2022,4,PALM BAY,,Non-Point Source,0.0025746759,0.0005454759,0.0864776258,0.0149277177
1,2022,4,PARK PLACE,,Non-Point Source,0.0323649143,0.0063496845,0.8439350967,0.1671081759
1,2022,4,PASCO,,Non-Point Source,0.1376025485,0.0079728769,4.507213836,1.0202977179
