year,month,bayseg,basin,entity,CLUCSID,tnloadtons,tploadtons,tssloadtons,bodloadtons
2022,5,1,02306647,HILLSBOROUGH,7,0.1028359327,0.0170918279,2.1090811016,0.8491071097
2022,5,1,02306647,HILLSBOROUGH,9,0.0008489516,9.085394E-6,0.0091241015,0.0011756532
2022,5,1,02306647,HILLSBOROUGH,15,0.0074383146,0.00128205,0.1022367271,0.0291189224
2022,5,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,5,1,02306647,HILLSBOROUGH,18,0.1422593268,0.0240586282,1.2250470986,0.5442414051
2022,5,1,02306647,HILLSBOROUGH,20,0.0784555383,0.0132681952,0.6755727547,0.300149695
2022,5,1,02306647,Tampa,1,0.0004568864,0.0000983272,0.005213924,0.0012567191
2022,5,1,02306647,Tampa,2,0.0002764506,0.0000551892,0.0054422154,0.0010883962
2022,5,1,02306647,Tampa,3,0.0037928437,0.0008796774,0.1409780142,0.0238510591
2022,5,1,02306647,Tampa,4,0.0010548634,0.0001983804,0.0542052845,0.0110745477
2022,5,1,02306647,Tampa,7,0.0000869699,0.0000144548,0.0017836807,0.0007181023
2022,5,1,02306647,Tampa,16,0,0,0,0
2022,6,1,02306647,FDACS (Agriculture),8,0.0821826912,0.0008310947,0.8461019559,0.1095146679
2022,6,1,02306647,FDACS (Agriculture),10,0.0040119056,0.0015319198,0.0150951401,0.0087704242
2022,6,1,02306647,FDACS (Agriculture),11,0.0018444411,0.001030882,0.0116116346,0.0058172938
2022,6,1,02306647,HILLSBOROUGH,1,0.1601981695,0.0330678522,1.753465461,0.422640125
2022,6,1,02306647,HILLSBOROUGH,2,0.8719273217,0.1669550745,16.463480043,3.2925542351
2022,6,1,02306647,HILLSBOROUGH,3,1.0550859167,0.234708885,37.614690719,6.3637597502
2022,6,1,02306647,HILLSBOROUGH,4,0.3746759671,0.0675836383,18.466495223,3.7728439989
2022,6,1,02306647,HILLSBOROUGH,5,0.2436503426,0.0499151068,16.221743865,1.6279171872
2022,6,1,02306647,HILLSBOROUGH,7,0.1330362407,0.0212078584,2.6169871122,1.0535879163
2022,6,1,02306647,HILLSBOROUGH,9,0.0010982672,0.0000112733,0.0113213551,0.0014587724
2022,6,1,02306647,HILLSBOROUGH,15,0.0096227591,0.0015907916,0.1268572352,0.0361313012
2022,6,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,6,1,02306647,HILLSBOROUGH,18,0.1840372867,0.0298523939,1.5200612563,0.6753048719
2022,6,1,02306647,HILLSBOROUGH,20,0.1014959421,0.0164634238,0.8382632564,0.3724313318
2022,6,1,02306647,Tampa,1,0.0005910624,0.0001220062,0.006469534,0.0015593604
2022,6,1,02306647,Tampa,2,0.0003576372,0.0000684797,0.0067528022,0.0013505023
2022,6,1,02306647,Tampa,3,0.0049067058,0.0010915201,0.1749281457,0.0295948384
2022,6,1,02306647,Tampa,4,0.00136465,0.0002461541,0.0672589266,0.0137415051
2022,6,1,02306647,Tampa,7,0.0001125107,0.0000179358,0.0022132243,0.0008910347
2022,6,1,02306647,Tampa,16,0,0,0,0
2022,7,1,02306647,FDACS (Agriculture),8,0.1112920687,0.0011524899,1.1620114288,0.150485987
2022,7,1,02306647,FDACS (Agriculture),10,0.0054329357,0.0021243332,0.0207312195,0.0120515906
2022,7,1,02306647,FDACS (Agriculture),11,0.0024977481,0.0014295376,0.0159470759,0.0079936434
2022,7,1,02306647,HILLSBOROUGH,1,0.216926731,0.0458526326,2.4080005512,0.5807191697
2022,7,1,02306647,HILLSBOROUGH,2,1.1807632819,0.231518096,22.61038923,4.5243417741
2022,7,1,02306647,HILLSBOROUGH,3,1.4287261499,0.325456885,51.656206178,8.7440947944
2022,7,1,02306647,HILLSBOROUGH,4,0.5073818163,0.0937180827,25.36105897,5.1842725351
2022,7,1,02306647,HILLSBOROUGH,5,0.3299524194,0.0692180022,22.278486042,2.2369512175
2022,7,1,02306647,HILLSBOROUGH,7,0.1801572099,0.0294090682,3.5940747973,1.4477460154
2022,7,1,02306647,HILLSBOROUGH,9,0.0014872771,0.0000156329,0.0155484146,0.0020045242
2022,7,1,02306647,HILLSBOROUGH,15,0.0130311588,0.0022059693,0.1742218046,0.0496485922
2022,7,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,7,1,02306647,HILLSBOROUGH,18,0.2492241438,0.0413967475,2.0876093079,0.9279489567
2022,7,1,02306647,HILLSBOROUGH,20,0.1374461361,0.0228300456,1.1512459905,0.5117642928
2022,7,1,02306647,Tampa,1,0.0008150073,0.0001722712,0.009047009,0.0021817983
2022,7,1,02306647,Tampa,2,0.0004890385,0.0000958882,0.0093645781,0.0018738533
2022,7,1,02306647,Tampa,3,0.0067193202,0.0015306286,0.2429399028,0.0411236073
2022,7,1,02306647,Tampa,4,0.0018536151,0.0003423797,0.0926514131,0.0189396735
2022,7,1,02306647,Tampa,7,0.0001532639,0.000025019,0.0030575625,0.001231631
2022,7,1,02306647,Tampa,16,0,0,0,0
2022,8,1,02306647,FDACS (Agriculture),8,0.0857306121,0.0008973049,0.9047181879,0.1171652929
2022,8,1,02306647,FDACS (Agriculture),10,0.0041851042,0.0016539621,0.0161409009,0.0093831204
2022,8,1,02306647,FDACS (Agriculture),11,0.0019240677,0.0011130086,0.0124160652,0.0062236862
2022,8,1,02306647,HILLSBOROUGH,1,0.1671032054,0.0356999163,1.8748196801,0.4521359962
2022,8,1,02306647,HILLSBOROUGH,2,0.9095666924,0.1802552257,17.603983804,3.5225594087
2022,8,1,02306647,HILLSBOROUGH,3,1.1005776843,0.2533940338,40.218459209,6.8079722811
2022,8,1,02306647,HILLSBOROUGH,4,0.3908468425,0.0729669707,19.745598663,4.0363679199
2022,8,1,02306647,HILLSBOROUGH,5,0.254169261,0.0538917123,17.345570812,1.7416441886
2022,8,1,02306647,HILLSBOROUGH,7,0.138778873,0.0228972954,2.7982726825,1.1271852576
2022,8,1,02306647,HILLSBOROUGH,9,0.0011456807,0.0000121714,0.0121056757,0.0015606813
2022,8,1,02306647,HILLSBOROUGH,15,0.0100381746,0.0017175223,0.1356455122,0.0386553723
2022,8,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,8,1,02306647,HILLSBOROUGH,18,0.191982579,0.0322306558,1.6253696508,0.7224819635
2022,8,1,02306647,HILLSBOROUGH,20,0.1058776381,0.0177750037,0.8963364392,0.3984491479
2022,8,1,02306647,Tampa,1,0.0006278172,0.0001341268,0.0070438151,0.0016987033
2022,8,1,02306647,Tampa,2,0.0003767166,0.0000746566,0.0072910678,0.0014589436
2022,8,1,02306647,Tampa,3,0.0051760332,0.0011917159,0.1891480094,0.0320179945
2022,8,1,02306647,Tampa,4,0.0014278786,0.0002665698,0.0721364838,0.0147460401
2022,8,1,02306647,Tampa,7,0.0001180624,0.0000194793,0.0023805553,0.0009589226
2022,8,1,02306647,Tampa,16,0,0,0,0
2022,9,1,02306647,FDACS (Agriculture),8,0.2798688118,0.0030245839,3.049572189,0.3949340508
2022,9,1,02306647,FDACS (Agriculture),10,0.0136623325,0.0055750807,0.0544068231,0.0316280843
