Source,BaySeg,Basin,Fac Name,Year,Month,TNLoad (tons/mnth),TPLoad (tons/mnth),TSS Load (tons/mnth),BOD Load (tons/mnth),H2O Load (10e6m3/mnth),Entity
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,11,0.448098168,0.059936698,0.299683488,0.285412846,0.258922181,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,12,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,12,0.463086515,0.056915661,0.297513683,0.25870755,0.234695544,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,1,0.001955829,3.68658E-05,0.00012612,0.000207613,0.00211226,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,1,0.438974971,0.049645979,0.169841507,0.27958525,0.237042499,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,2,0.004731845,0.000194531,0.000341744,0.000899051,0.005723543,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,2,0.313703768,0.077380263,0.1359383,0.357622296,0.189724849,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,3,0.008257945,0.000316917,0.000525176,0.001204284,0.009857213,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,3,0.328351623,0.075607282,0.125292067,0.28730767,0.195970779,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,4,0.009170765,0.000413098,0.000757346,0.00330478,0.014990232,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,4,0.229269135,0.061964631,0.113601824,0.495717048,0.187377894,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,5,0.007217941,0.000996024,0.000103483,0.001940307,0.014081733,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,5,0.182854497,0.151395658,0.015729419,0.294926607,0.178368613,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,6,0.00425866,0.000709777,0.000963894,0.001331927,0.009539238,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,6,0.184541937,0.184541937,0.250612508,0.34630092,0.206683495,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,7,0.010543626,0.000663585,0.00061443,0.001585231,0.013377646,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,7,0.332956617,0.125731869,0.116418398,0.300359466,0.21122599,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,8,0.009437651,0.000639008,0.001880157,0.001634385,0.013377646,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,8,0.321211294,0.130492088,0.383947875,0.333758611,0.227654678,Clearwater
